Date,Close,Volume,Open,High,Low
22-02-24,258.59,2088,256.5,263.6,256.5
23-02-24,264.18,1833,261.25,267.2,258.5
26-02-24,257,421,267,267,257
27-02-24,264.02,1068,261.2,264.85,261.2
28-02-24,263.16,116530,261.33,263.27,261.3
29-02-24,260.5,1628,264,264,260.5
01-03-24,262.5,1022,263,265.1,262.5
04-03-24,262.13,574,257.89,265.2,257.89
05-03-24,266.6,927,261.54,267.7,261.54
06-03-24,268.2,1141,262.11,268.2,262.11
07-03-24,268.3,360,266.25,271.6,266.25
08-03-24,271.17,11824,270.39,272,267.62
11-03-24,272.8,2298,269.74,276.43,269.74
12-03-24,279.39,1210,278.22,279.39,277.36
13-03-24,272.3,687,271.72,276.08,271.69
14-03-24,264.2,207,262.9,264.2,261.3
15-03-24,262.38,1087,262.5,263.33,256.78
18-03-24,257.65,1994,259.67,260.55,256.45
19-03-24,259.06,2255,257.59,259.52,255.77
20-03-24,260.02,1436,258.33,261.04,256.15
21-03-24,251.3,389,252.72,252.72,248.28
22-03-24,250.83,8123,252.96,252.96,250
25-03-24,252.96,1635,252.57,252.96,247.92
26-03-24,250.2,5961,248.22,252.3,248.22
27-03-24,252.4,527,245.01,252.4,245.01
28-03-24,256.16,655,254.11,256.2,247.86
01-04-24,252.41,2195,260.96,260.96,250
02-04-24,250.01,155,250.99,252,250
03-04-24,250.24,2465,250,251.49,247.41
04-04-24,246.6,2471,245.92,250.24,245.92
05-04-24,242.53,1097,245,245.77,240.32
08-04-24,242.28,2435,237.81,242.54,237.81
09-04-24,244.6,219718,243.46,246.86,243.46
10-04-24,245.61,2444,246.57,246.57,241.23
11-04-24,247.3,128058,249,249.2,246.7
12-04-24,244.91,766,246.58,248.88,244.91
15-04-24,244.48,403,248.01,248.01,243.38
16-04-24,243.5,3681,238.85,243.7,238.85
17-04-24,242.62,3474,240.36,242.94,238.05
18-04-24,240.06,1675,236.98,243.8,236.98
19-04-24,243.98,5153,237.09,243.98,237.09
22-04-24,245.18,1298,244,249.91,244
23-04-24,250.79,1274,248.21,251.99,248.21
24-04-24,241.51,928,243.4,247.55,235.77
25-04-24,237.72,11070,236.73,241.74,235.84
26-04-24,242.36,369,236.99,246.53,235.8
29-04-24,240.12,2267,240.12,244.34,240.12
30-04-24,238.8,2994,240,243.38,235.8
01-05-24,236,3898,246.08,246.08,235.81
02-05-24,235.3,5310,239.17,240.24,234.2
03-05-24,237.29,333,238.06,240.41,237.29
06-05-24,233.27,1211,233.12,242.65,233.12
07-05-24,244,3007,233.5,244.92,233.5
08-05-24,241.36,11157,240.14,244.56,240.14
09-05-24,244.1,611,241.64,246.56,240
10-05-24,245.3,2569,244.56,250,244.56
13-05-24,242.58,1822,250,251.49,241.56
14-05-24,244.14,767,245.9,247.6,243.11
15-05-24,248.24,297,248.75,250.94,246.7
16-05-24,261.27,25390,256.65,261.27,256.65
17-05-24,261.49,1454,261.27,263.86,260
20-05-24,262.44,567,269.25,270,260.3
21-05-24,260.63,28792,260,260.64,258.3
22-05-24,251.34,1058,253.35,255.19,250
23-05-24,253.6,2731,255.54,255.54,250.01
24-05-24,254.46,232,254.32,254.46,248.34
28-05-24,251.53,16092,250,253.81,248.02
29-05-24,251.92,1083,247.86,253.13,247.86
30-05-24,257.2,322,247.2,257.2,247.2
31-05-24,248.36,2062,249.5,256.59,248.36
03-06-24,257.37,757,250,260,250
04-06-24,259.52,729,260,263.56,256.09
05-06-24,264.58,51137,265,267.26,262.6
06-06-24,267.78,113,262.34,267.78,262.34
07-06-24,262.01,1746,263.62,271.06,262.01
10-06-24,267.6,14858,258.54,269.62,258.54
11-06-24,266.31,4180,262.93,269,262.93
12-06-24,272.48,39836,272,272.48,262
13-06-24,274.01,10112,267.07,275.25,264.63
14-06-24,270.09,700,277.9,278.71,270.09
17-06-24,266.8,6023,269.69,279.4,266.72
18-06-24,269.65,12474,280.06,281.23,266.7
20-06-24,279.42,2186,283.28,283.28,269.15
21-06-24,283.5,1941,282.9,283.58,278
24-06-24,285.08,1508,280,285.08,280
25-06-24,280.16,3078,273.12,284.89,273.12
26-06-24,270.43,3434,274.5,279.06,270.43
27-06-24,278.4,945,271.82,279.51,269.53
28-06-24,277.14,495,276.81,278.25,270.26
01-07-24,276.25,822,266.59,277.09,266.59
02-07-24,267.8,241,271.68,279,267.8
03-07-24,272.33,31,274.31,276.32,272.33
05-07-24,270.19,196,271.51,272.33,269.69
08-07-24,269.8,646,272.2,272.2,267.55
09-07-24,269.29,2588,272.53,273.91,269.29
10-07-24,276.07,1933,274.22,278.23,273.7
11-07-24,281.04,1257,281.46,282.34,280.29
12-07-24,285.55,249,284.9,285.55,284
15-07-24,287.2,26646,291.86,292,287.2
16-07-24,288.79,4075,288.01,289.35,288.01
17-07-24,313.91,2554,310.06,313.91,310.05
18-07-24,314.25,528,312.5,314.25,311.91
19-07-24,311.61,5120,314.6,315.15,311.61
22-07-24,315,1092,313.87,315.9,311.87
23-07-24,305.39,6840,307.4,307.52,305.39
24-07-24,311.44,578,308.4,311.44,308.4
25-07-24,316.67,5793,317.42,318,313.59
26-07-24,320.19,79498,319.9,325.13,319.72
29-07-24,321.47,274,322.69,322.81,320.92
30-07-24,321.15,1430,322.83,322.84,321.15
31-07-24,320.97,853,330.22,330.22,320.58
01-08-24,322.05,88581,321,331.4,319
02-08-24,332.73,20063,325.56,332.73,323.81
05-08-24,320.48,14186,315.77,322.1,314.49
06-08-24,320.64,315,309.57,320.64,309.1
07-08-24,318.98,3205,315.17,318.98,315.17
08-08-24,318.98,522,318.09,318.98,314.8
09-08-24,319.49,755,318.98,320.77,316.35
12-08-24,319.63,351,317.1,320.04,314.74
13-08-24,320.33,22262,322.3,322.36,320.33
14-08-24,324.35,243,319.85,324.4,319.85
15-08-24,321.07,143,324.56,324.79,321.07
16-08-24,321.69,7006,322.23,324.98,321.69
19-08-24,328.69,601,324.47,328.69,324.47
20-08-24,328.7,209,330,330.38,328.7
21-08-24,331.27,6511,330.59,331.27,330.59
22-08-24,331.76,138319,332.5,333.25,331.2
23-08-24,332.66,1438,332.4,333,331.61
26-08-24,334.35,1123,333.98,337.19,333.57
27-08-24,335.57,510,330.92,335.57,330
28-08-24,336,70,334.99,336,332.28
29-08-24,334.43,10225,335.43,337.94,333.93
30-08-24,336.07,480,338.01,340.88,335.69
03-09-24,326.92,715,331.19,332,326.49
04-09-24,329.98,3032,329,330.73,325.8
05-09-24,323.57,1218,326.25,326.78,322.57
06-09-24,322.46,468,326.26,328.68,322.46
09-09-24,311.92,6751,310.76,315.58,310.76
10-09-24,314.74,15563,316.89,318.65,314.35
11-09-24,316.22,667,315.68,317.55,299.2
12-09-24,306,50370,305.61,312.47,305.61
13-09-24,308.41,500,317.91,317.91,308.41
16-09-24,312.83,205,314.71,314.71,310.36
17-09-24,317.27,601,314.85,317.27,312.01
18-09-24,314.87,174,313.45,321.77,313.45
19-09-24,317.65,1078,319.12,320.28,313.42
20-09-24,318.23,34,318.72,318.72,312.91
23-09-24,313.26,459,317.14,319.5,312.36
24-09-24,320.43,1606,315,320.43,314.48
25-09-24,317.17,104,317.96,322.66,317.17
26-09-24,321,392,316.4,321,316.4
27-09-24,322,506,321.9,322.57,321.11
30-09-24,318.29,122,324.63,324.63,318.29
01-10-24,312.44,403,317.96,319.03,312.1
02-10-24,314.35,5460,313.86,315.22,311.6
03-10-24,306.57,164,306.24,311.98,304.29
