Date,Close,Volume,Open,High,Low
22-12-23,113.615,6426,112.83,114.304,111.62
26-12-23,113.554,3783,112.65,114.102,112.65
27-12-23,113.83,9496,111.99,115,111.99
28-12-23,115.088,4627,114.75,116.235,114.15
29-12-23,115.95,3435,114.25,116.684,114.0348
02-01-24,115.104,6238,113,115.75,113
03-01-24,116.618,31341,116.5,117.52,115.05
04-01-24,115.826,2620,114.4,116.322,114.05
05-01-24,115.97,7877,114.85,116.71,114.85
08-01-24,116.785,15720,116.65,116.954,114.76
09-01-24,115.74,4648,115.92,116.172,114.25
10-01-24,115.22,21475,116.17,116.17,114.764
11-01-24,113.828,7740,114.256,114.256,112.84
12-01-24,114.43,7505,114.585,114.866,112.5
16-01-24,113.895,9077,113,114.8,113
17-01-24,113.2654,5686,111.79,113.66,111.79
18-01-24,112.48,12173,112.44,113.128,112.32
19-01-24,112.22,7243,112.005,112.762,111.996
22-01-24,110.84,27003,110.75,112.382,110.5
23-01-24,109.7,41959,109.41,110.65,109.248
24-01-24,110.036,47573,109.75,111.19,109.75
25-01-24,111.6,37750,110,111.6,110
26-01-24,114.12,18781,113.092,114.12,112.85
29-01-24,115.558,5001,115.18,116.0603,113.28
30-01-24,114.978,3880,113.5,115.11,113.5
31-01-24,114.132,6010,115,115.578,114.05
01-02-24,115.01,5014,113,115.202,112.992
02-02-24,114.41,1867,115.38,115.38,113.652
05-02-24,114.91,38329,113.5,115.1857,112.81
06-02-24,114.268,1161,112.25,114.78,112.25
07-02-24,112.19,4670,114.466,114.466,112
08-02-24,111.93,3073,113.71,113.71,111
09-02-24,109.36,7277,109.88,109.88,108.5001
12-02-24,110.89,2545,109.2,111.09,109.2
13-02-24,108.23,2708,109.25,109.27,107.5
14-02-24,109.32,203701,107.75,109.832,107.75
15-02-24,110.6,608060,110.1,111.83,110.1
16-02-24,109.3,2101,109.25,110.702,109.25
20-02-24,112.855,3405,111.25,113.46,111.25
21-02-24,112.548,30326,113.072,113.46,110.8691
22-02-24,106.83,15034,107.45,107.54,106.016
23-02-24,108.19,3117,107.45,108.586,107.248
26-02-24,107.21,12712,108.17,108.17,106.5
27-02-24,106.832,3977,105.8,106.984,105.8
28-02-24,105.2,3969,105.45,105.58,104.25
29-02-24,104.015,32555,104.5,105.75,103.4707
01-03-24,104.618,5558,104.766,105.1752,103.922
04-03-24,103.57,3666,103.818,104.142,102.53
05-03-24,104.69,15898,102.45,104.69,102.45
06-03-24,105.646,478852,103.91,105.762,103.91
07-03-24,106.15,134748,106.55,106.618,105.55
08-03-24,106.97,73110,106.694,107.633,106.4
11-03-24,106.966,22380,107.104,107.59,106.2
12-03-24,107.37,128504,107.362,107.6,106.77
13-03-24,108.35,5191,107.4,109.036,107.142
14-03-24,107.608,15862,107.75,108.5,107.224
15-03-24,107.848,2090,107.5,108.152,107.125
18-03-24,106.67,3222,107,107.85,106.28
19-03-24,105.24,3013,105.25,106.33,105.24
20-03-24,106.87,3931,104.83,106.87,104.83
21-03-24,105.8,4971,105.118,106.368,105.11
22-03-24,104.936,3621,106.038,106.038,103.72
25-03-24,105.194,4671,104.4,105.774,104.2625
26-03-24,105.154,2296,105.4,105.666,105.02
27-03-24,105.458,4103,104.9,106.2796,104.9
28-03-24,106.18,11134,105.536,106.24,105
01-04-24,105.692,5569,108.18,108.18,102.21
02-04-24,104.208,2635,104.9,105.448,103.5
03-04-24,104.23,3308,104.606,104.854,103.7
04-04-24,104.77,7384,103.45,105.238,103.45
05-04-24,102.66,2402,103.94,103.94,102.362
08-04-24,102.9,150275,102.72,103.3799,102.2572
09-04-24,102.954,36457,103.05,104.21,102.918
10-04-24,102.62,5611,102.84,103,101.638
11-04-24,103.68,4583,102.95,103.976,102.482
12-04-24,101.582,4718,102.8,102.8,101.47
15-04-24,101.15,6203,100.95,102.2437,100.95
16-04-24,100.688,5236,101.62,101.62,100.366
17-04-24,103.33,22675,101.25,103.33,101.25
18-04-24,102.205,9030,101.1,102.49,101.1
19-04-24,104.608,2822,103.05,104.862,103.05
22-04-24,102.845,7215,101.26,103.414,100.3412
23-04-24,103.286,49105,103.98,104.1185,102.31
24-04-24,102.6158,12883,102.05,103.622,102.05
25-04-24,101.76,242892,99.69,101.76,97.7032
26-04-24,101.21,4453,99.02,102.17,99.02
29-04-24,101.61,11823,100.9,102.1,100.85
30-04-24,100.6,5627,100.6,101.644,99.4623
01-05-24,100.374,11373,98.384,101.35,98.384
02-05-24,101.08,9709,99.3,101.278,99.3
03-05-24,101.046,7582,101.8,102.18,100.05
06-05-24,100.59,56751,101.57,102.05,99.38
07-05-24,100,44918,99.42,102.2,99.42
08-05-24,103.55,11515,103.132,104,102.3
09-05-24,104.01,4774,95.73,104.376,95.73
10-05-24,105.18,8784,104.794,105.664,104.04
13-05-24,103.294,6177,104.67,105.098,103.294
14-05-24,103.82,3534,105.16,105.16,103.82
15-05-24,105.558,10178,104.36,106.19,104.1
16-05-24,106.286,9728,104.95,106.318,104.91
17-05-24,106.182,14834,105.96,106.374,105.451
20-05-24,105.52,9648,107.072,108.24,105.52
21-05-24,104.5,43718,104.7618,105.8377,104.05
22-05-24,103.72,6946,103.77,104.346,102.902
23-05-24,101.68,18979,103.02,103.02,101.04
24-05-24,100.936,1706,100.7,101.85,100.7
28-05-24,100.495,6992,101,101.03,99.47
29-05-24,99.68,11720,100.018,100.2875,99.62
30-05-24,103.4422,18790,101.94,104.6,101.94
31-05-24,106.184,11862,105.3,106.786,105.2
03-06-24,107.498,8001,105.7,108.61,105.7
04-06-24,109.99,7291,108.9,109.99,108.9
05-06-24,108.62,18428,110.96,110.96,106.95
06-06-24,110.58,44418,109.05,110.58,108.09
07-06-24,109.04,2749,108.9,110.044,108.616
10-06-24,106.724,10880,107.55,108.16,105.944
11-06-24,105.44,4542,104.68,106.3,103.34
12-06-24,105.892,4790,106,107,105.85
13-06-24,106.5,6591,105.1,106.538,103.8374
14-06-24,106.808,6074,106.44,107.672,104.39
17-06-24,105.272,8216,105.35,107.954,104.5622
18-06-24,107.15,32643,106.1,107.7422,105.63
20-06-24,105.3,3978,104.85,107.496,104.85
21-06-24,103.01,4169,104.5,105.528,103.01
24-06-24,105.642,32876,105.994,106.19,104.25
25-06-24,105.408,3685,104.68,105.98,103.83
26-06-24,103.24,12866,103.51,104.09,103.24
27-06-24,102.466,2873,102.328,103.698,101.13
28-06-24,102.424,5444,102.99,102.99,100.92
01-07-24,101.568,10946,102.67,103.05,101.056
02-07-24,103.19,23638,102.076,103.19,101.524
03-07-24,103.15,5869,101.14,103.61,101.14
05-07-24,103.89,3477,102.612,104.144,102.13
08-07-24,101.69,2492,104.386,104.386,101.22
09-07-24,103.15,44819,102.8,104.3,102.33
10-07-24,103.6565,29132,103.15,103.902,102.484
11-07-24,104.455,2349,104.4,104.995,103.884
12-07-24,105.524,4188,105.606,105.916,104.632
15-07-24,103.55,6322,105.196,105.91,102.69
16-07-24,102.896,2112,104.34,104.34,102.24
17-07-24,105.83,6396,103.65,106,103.65
18-07-24,105.902,4966,106.15,106.888,105.41
19-07-24,104.774,3119,106.158,106.204,104.774
22-07-24,106,3283,105.3,106.8737,103.25
23-07-24,104.455,13504,104.35,106.334,103.4
24-07-24,104.08,5199,106.46,106.57,103.79
25-07-24,100.46,28647,99.33,101.34,98.98
26-07-24,99.7,33297,99.72,100.7,97.8501
29-07-24,99.35,15423,99.55,100.37,97.978
30-07-24,99.544,7170,99.15,100.688,99.15
31-07-24,102.6025,7525,99.604,102.6025,99.2621
01-08-24,101.46,7527,97.42,103.692,97.42
02-08-24,104.085,12242,103.5,105,103.5
05-08-24,102.2456,62297,99.63,104.46,99.63
06-08-24,104.25,4486,103.15,104.25,101.75
07-08-24,103.99,27468,102.25,103.99,101.61
08-08-24,101.03,6052,103.66,103.66,101.03
09-08-24,103.76,2521,103,103.76,102.554
12-08-24,102.61,10229,102.76,102.76,101.07
13-08-24,102.642,2544,101.1501,103.084,101.1501
14-08-24,103.03,1985,101.674,104.26,101.674
15-08-24,102.96,8903,102.654,103.312,101.775
16-08-24,103.18,2408,102.3,103.73,102.3
19-08-24,103.478,8063,103.1,104.99,103.1
20-08-24,104.3315,1751,103.752,104.3441,102.6
21-08-24,105.02,3822,104.966,105.328,104.242
22-08-24,100.33,8136,104.55,105.5546,100.33
23-08-24,105.13,104983,103.99,105.34,102.948
26-08-24,105.44,1233301,105.05,106.26,104.712
27-08-24,106.36,823143,105.65,106.73,104.1067
28-08-24,106.714,803054,106.2,108.01,106.2
29-08-24,107.36,432480,107,107.9433,107
30-08-24,106.886,65715,106.64,107.77,105.91
03-09-24,108.34,283036,107.51,108.34,106.516
04-09-24,105.13,104945,105.52,107.3573,104.17
05-09-24,104.76,101807,104.46,105.1716,103.8
06-09-24,103.6602,163128,103.52,104.956,103.384
09-09-24,103.706,13456,103.67,104.422,102.4
10-09-24,104.3385,15103,103.74,104.71,103.46
11-09-24,103.13,17551,104.51,104.51,102.87
12-09-24,103.0663,39590,103,103.6276,102.72
13-09-24,103.56,198973,104.97,104.97,101.65
16-09-24,103.17,7396,101.86,103.802,101.86
17-09-24,101.59,6383,102.178,102.66,101.59
18-09-24,101.47,6367,102.97,102.97,100.25
19-09-24,100.694,12332,98.82,101.5,98.65
20-09-24,97.115,16358,97.35,98.99,96.03
23-09-24,97.52,18445,97.23,98.67,96.13
24-09-24,99.442,3367,99.54,99.762,97.8
25-09-24,99.25,7973,100.18,100.18,98.4
26-09-24,100.452,3384,98.4,100.652,98.4
27-09-24,101.32,5947,99.83,101.688,99.83
30-09-24,100.34,6825,100.25,102,99.05
01-10-24,100.22,5825,98.83,101.58,98.83
02-10-24,99.92,694174,100.59,100.614,98.85
03-10-24,98.42,4944,98.98,98.98,97.5
